"Year_of_issue","Probability","Index","Aggregation","District","Month_of_issue","Category"
"2008",0.27,"SPI OND","SPI 3","Changara","10","Moderado"
"2009",0.31,"SPI OND","SPI 3","Changara","10","Moderado"
"2010",0.2,"SPI OND","SPI 3","Changara","10","Moderado"
"2011",0.15,"SPI OND","SPI 3","Changara","10","Moderado"
"2012",0.31,"SPI OND","SPI 3","Changara","10","Moderado"
"2013",0.18,"SPI OND","SPI 3","Changara","10","Moderado"
"2014",0.06,"SPI OND","SPI 3","Changara","10","Moderado"
"2015",0.38,"SPI OND","SPI 3","Changara","10","Moderado"
"2016",0.27,"SPI OND","SPI 3","Changara","10","Moderado"
"2017",0.13,"SPI OND","SPI 3","Changara","10","Moderado"
"2018",0.15,"SPI OND","SPI 3","Changara","10","Moderado"
"2019",0.1,"SPI OND","SPI 3","Changara","10","Moderado"
"2020",0.05,"SPI OND","SPI 3","Changara","10","Moderado"
"1993",0.32,"SPI OND","SPI 3","Marara","10","Moderado"
"1994",0.25,"SPI OND","SPI 3","Marara","10","Moderado"
"1995",0.2,"SPI OND","SPI 3","Marara","10","Moderado"
"1996",0.17,"SPI OND","SPI 3","Marara","10","Moderado"
"1997",0.08,"SPI OND","SPI 3","Marara","10","Moderado"
"1998",0.4,"SPI OND","SPI 3","Marara","10","Moderado"
"1999",0.13,"SPI OND","SPI 3","Marara","10","Moderado"
"2000",0.19,"SPI OND","SPI 3","Marara","10","Moderado"
"2001",0.17,"SPI OND","SPI 3","Marara","10","Moderado"
"2002",0.25,"SPI OND","SPI 3","Marara","10","Moderado"
"2003",0.12,"SPI OND","SPI 3","Marara","10","Moderado"
"2004",0.12,"SPI OND","SPI 3","Marara","10","Moderado"
"2005",0.12,"SPI OND","SPI 3","Marara","10","Moderado"
"2006",0.24,"SPI OND","SPI 3","Marara","10","Moderado"
"2007",0.08,"SPI OND","SPI 3","Marara","10","Moderado"
"2008",0.25,"SPI OND","SPI 3","Marara","10","Moderado"
"2009",0.35,"SPI OND","SPI 3","Marara","10","Moderado"
"2010",0.2,"SPI OND","SPI 3","Marara","10","Moderado"
"2011",0.2,"SPI OND","SPI 3","Marara","10","Moderado"
"2012",0.32,"SPI OND","SPI 3","Marara","10","Moderado"
"2013",0.16,"SPI OND","SPI 3","Marara","10","Moderado"
"2014",0.04,"SPI OND","SPI 3","Marara","10","Moderado"
"2015",0.35,"SPI OND","SPI 3","Marara","10","Moderado"
"2016",0.28,"SPI OND","SPI 3","Marara","10","Moderado"
"2017",0.09,"SPI OND","SPI 3","Marara","10","Moderado"
"2018",0.15,"SPI OND","SPI 3","Marara","10","Moderado"
"2019",0.16,"SPI OND","SPI 3","Marara","10","Moderado"
"2020",0.11,"SPI OND","SPI 3","Marara","10","Moderado"
"1993",0.11,"SPI DJ","SPI 2","Chibuto","10","Leve"
"1994",0.3,"SPI DJ","SPI 2","Chibuto","10","Leve"
"1995",0.06,"SPI DJ","SPI 2","Chibuto","10","Leve"
"1996",0.23,"SPI DJ","SPI 2","Chibuto","10","Leve"
"1997",0.36,"SPI DJ","SPI 2","Chibuto","10","Leve"
"1998",0.08,"SPI DJ","SPI 2","Chibuto","10","Leve"
"1999",0.22,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2000",0.21,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2001",0.3,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2002",0.52,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2003",0.32,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2004",0.22,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2005",0.21,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2006",0.36,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2007",0.2,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2008",0.18,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2009",0.34,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2010",0.08,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2011",0.2,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2012",0.34,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2013",0.24,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2014",0.21,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2015",0.6,"SPI DJ","SPI 2","Chibuto","10","Leve"
