"Year_of_issue","Probability","Index","Aggregation","District","Month_of_issue","Category"
"1995",0.05,"SPI FM","SPI 2","Marara","11","Leve"
"1996",0.17,"SPI FM","SPI 2","Marara","11","Leve"
"1997",0.32,"SPI FM","SPI 2","Marara","11","Leve"
"1998",0.04,"SPI FM","SPI 2","Marara","11","Leve"
"1999",0.2,"SPI FM","SPI 2","Marara","11","Leve"
"2000",0.19,"SPI FM","SPI 2","Marara","11","Leve"
"2001",0.28,"SPI FM","SPI 2","Marara","11","Leve"
"2002",0.2,"SPI FM","SPI 2","Marara","11","Leve"
"2003",0.2,"SPI FM","SPI 2","Marara","11","Leve"
"2004",0.16,"SPI FM","SPI 2","Marara","11","Leve"
"2005",0,"SPI FM","SPI 2","Marara","11","Leve"
"2006",0.27,"SPI FM","SPI 2","Marara","11","Leve"
"2007",0.16,"SPI FM","SPI 2","Marara","11","Leve"
"2008",0.28,"SPI FM","SPI 2","Marara","11","Leve"
"2009",0.36,"SPI FM","SPI 2","Marara","11","Leve"
"2010",0.2,"SPI FM","SPI 2","Marara","11","Leve"
"2011",0.17,"SPI FM","SPI 2","Marara","11","Leve"
"2012",0.28,"SPI FM","SPI 2","Marara","11","Leve"
"2013",0.16,"SPI FM","SPI 2","Marara","11","Leve"
"2014",0.25,"SPI FM","SPI 2","Marara","11","Leve"
"2015",0.32,"SPI FM","SPI 2","Marara","11","Leve"
"2016",0.25,"SPI FM","SPI 2","Marara","11","Leve"
"2017",0.35,"SPI FM","SPI 2","Marara","11","Leve"
"2018",0.48,"SPI FM","SPI 2","Marara","11","Leve"
"2019",0.48,"SPI FM","SPI 2","Marara","11","Leve"
"2020",0.23,"SPI FM","SPI 2","Marara","11","Leve"
"1993",0.17,"SPI JF","SPI 2","Chibuto","11","Leve"
"1994",0.34,"SPI JF","SPI 2","Chibuto","11","Leve"
"1995",0.21,"SPI JF","SPI 2","Chibuto","11","Leve"
"1996",0.28,"SPI JF","SPI 2","Chibuto","11","Leve"
"1997",0.36,"SPI JF","SPI 2","Chibuto","11","Leve"
"1998",0.04,"SPI JF","SPI 2","Chibuto","11","Leve"
"1999",0.16,"SPI JF","SPI 2","Chibuto","11","Leve"
"2000",0.26,"SPI JF","SPI 2","Chibuto","11","Leve"
"2001",0.3,"SPI JF","SPI 2","Chibuto","11","Leve"
"2002",0.25,"SPI JF","SPI 2","Chibuto","11","Leve"
"2003",0.24,"SPI JF","SPI 2","Chibuto","11","Leve"
"2004",0.24,"SPI JF","SPI 2","Chibuto","11","Leve"
"2005",0.07,"SPI JF","SPI 2","Chibuto","11","Leve"
"2006",0.4,"SPI JF","SPI 2","Chibuto","11","Leve"
"2007",0.14,"SPI JF","SPI 2","Chibuto","11","Leve"
"2008",0.3,"SPI JF","SPI 2","Chibuto","11","Leve"
"2009",0.5,"SPI JF","SPI 2","Chibuto","11","Leve"
"2010",0.07,"SPI JF","SPI 2","Chibuto","11","Leve"
"2011",0.4,"SPI JF","SPI 2","Chibuto","11","Leve"
"2012",0.24,"SPI JF","SPI 2","Chibuto","11","Leve"
"2013",0.27,"SPI JF","SPI 2","Chibuto","11","Leve"
"2014",0.45,"SPI JF","SPI 2","Chibuto","11","Leve"
"2015",0.32,"SPI JF","SPI 2","Chibuto","11","Leve"
"2016",0.19,"SPI JF","SPI 2","Chibuto","11","Leve"
"2017",0.3,"SPI JF","SPI 2","Chibuto","11","Leve"
"2018",0.32,"SPI JF","SPI 2","Chibuto","11","Leve"
"2019",0.49,"SPI JF","SPI 2","Chibuto","11","Leve"
"2020",0.24,"SPI JF","SPI 2","Chibuto","11","Leve"
"1993",0.13,"SPI JF","SPI 2","Guija","11","Leve"
"1994",0.39,"SPI JF","SPI 2","Guija","11","Leve"
"1995",0.21,"SPI JF","SPI 2","Guija","11","Leve"
"1996",0.3,"SPI JF","SPI 2","Guija","11","Leve"
"1997",0.36,"SPI JF","SPI 2","Guija","11","Leve"
"1998",0.02,"SPI JF","SPI 2","Guija","11","Leve"
"1999",0.16,"SPI JF","SPI 2","Guija","11","Leve"
"2000",0.3,"SPI JF","SPI 2","Guija","11","Leve"
"2001",0.3,"SPI JF","SPI 2","Guija","11","Leve"
"2002",0.3,"SPI JF","SPI 2","Guija","11","Leve"
"2003",0.23,"SPI JF","SPI 2","Guija","11","Leve"
"2004",0.27,"SPI JF","SPI 2","Guija","11","Leve"
"2005",0.08,"SPI JF","SPI 2","Guija","11","Leve"
"2006",0.42,"SPI JF","SPI 2","Guija","11","Leve"
"2007",0.12,"SPI JF","SPI 2","Guija","11","Leve"
"2008",0.27,"SPI JF","SPI 2","Guija","11","Leve"
"2009",0.46,"SPI JF","SPI 2","Guija","11","Leve"
"2010",0.11,"SPI JF","SPI 2","Guija","11","Leve"
"2011",0.41,"SPI JF","SPI 2","Guija","11","Leve"
"2012",0.2,"SPI JF","SPI 2","Guija","11","Leve"
"2013",0.22,"SPI JF","SPI 2","Guija","11","Leve"
"2014",0.48,"SPI JF","SPI 2","Guija","11","Leve"
"2015",0.22,"SPI JF","SPI 2","Guija","11","Leve"
"2016",0.2,"SPI JF","SPI 2","Guija","11","Leve"
"2017",0.25,"SPI JF","SPI 2","Guija","11","Leve"
"2018",0.38,"SPI JF","SPI 2","Guija","11","Leve"
"2019",0.51,"SPI JF","SPI 2","Guija","11","Leve"
"2020",0.23,"SPI JF","SPI 2","Guija","11","Leve"
"1993",0.14,"SPI JF","SPI 2","Changara","11","Leve"
"1994",0.35,"SPI JF","SPI 2","Changara","11","Leve"
"1995",0.09,"SPI JF","SPI 2","Changara","11","Leve"
"1996",0.13,"SPI JF","SPI 2","Changara","11","Leve"
"1997",0.25,"SPI JF","SPI 2","Changara","11","Leve"
"1998",0.01,"SPI JF","SPI 2","Changara","11","Leve"
"1999",0.18,"SPI JF","SPI 2","Changara","11","Leve"
"2000",0.25,"SPI JF","SPI 2","Changara","11","Leve"
"2001",0.24,"SPI JF","SPI 2","Changara","11","Leve"
"2002",0.27,"SPI JF","SPI 2","Changara","11","Leve"
"2003",0.18,"SPI JF","SPI 2","Changara","11","Leve"
"2004",0.08,"SPI JF","SPI 2","Changara","11","Leve"
"2005",0,"SPI JF","SPI 2","Changara","11","Leve"
"2006",0.41,"SPI JF","SPI 2","Changara","11","Leve"
"2007",0.12,"SPI JF","SPI 2","Changara","11","Leve"
"2008",0.19,"SPI JF","SPI 2","Changara","11","Leve"
"2009",0.27,"SPI JF","SPI 2","Changara","11","Leve"
"2010",0.09,"SPI JF","SPI 2","Changara","11","Leve"
"2011",0.26,"SPI JF","SPI 2","Changara","11","Leve"
"2012",0.24,"SPI JF","SPI 2","Changara","11","Leve"
"2013",0.08,"SPI JF","SPI 2","Changara","11","Leve"
"2014",0.47,"SPI JF","SPI 2","Changara","11","Leve"
"2015",0.41,"SPI JF","SPI 2","Changara","11","Leve"
"2016",0.16,"SPI JF","SPI 2","Changara","11","Leve"
"2017",0.31,"SPI JF","SPI 2","Changara","11","Leve"
"2018",0.39,"SPI JF","SPI 2","Changara","11","Leve"
"2019",0.49,"SPI JF","SPI 2","Changara","11","Leve"
"2020",0.12,"SPI JF","SPI 2","Changara","11","Leve"
"1993",0.12,"SPI JF","SPI 2","Marara","11","Leve"
"1994",0.35,"SPI JF","SPI 2","Marara","11","Leve"
"1995",0.11,"SPI JF","SPI 2","Marara","11","Leve"
"1996",0.16,"SPI JF","SPI 2","Marara","11","Leve"
"1997",0.24,"SPI JF","SPI 2","Marara","11","Leve"
"1998",0.03,"SPI JF","SPI 2","Marara","11","Leve"
"1999",0.17,"SPI JF","SPI 2","Marara","11","Leve"
"2000",0.21,"SPI JF","SPI 2","Marara","11","Leve"
"2001",0.24,"SPI JF","SPI 2","Marara","11","Leve"
"2002",0.29,"SPI JF","SPI 2","Marara","11","Leve"
"2003",0.2,"SPI JF","SPI 2","Marara","11","Leve"
"2004",0.05,"SPI JF","SPI 2","Marara","11","Leve"
"2005",0,"SPI JF","SPI 2","Marara","11","Leve"
"2006",0.37,"SPI JF","SPI 2","Marara","11","Leve"
"2007",0.09,"SPI JF","SPI 2","Marara","11","Leve"
"2008",0.2,"SPI JF","SPI 2","Marara","11","Leve"
"2009",0.32,"SPI JF","SPI 2","Marara","11","Leve"
"2010",0.08,"SPI JF","SPI 2","Marara","11","Leve"
"2011",0.23,"SPI JF","SPI 2","Marara","11","Leve"
"2012",0.24,"SPI JF","SPI 2","Marara","11","Leve"
"2013",0.09,"SPI JF","SPI 2","Marara","11","Leve"
"2014",0.48,"SPI JF","SPI 2","Marara","11","Leve"
"2015",0.48,"SPI JF","SPI 2","Marara","11","Leve"
"2016",0.17,"SPI JF","SPI 2","Marara","11","Leve"
"2017",0.32,"SPI JF","SPI 2","Marara","11","Leve"
"2018",0.37,"SPI JF","SPI 2","Marara","11","Leve"
"2019",0.48,"SPI JF","SPI 2","Marara","11","Leve"
"2020",0.11,"SPI JF","SPI 2","Marara","11","Leve"
"1993",0.22,"SPI JFM","SPI 3","Chibuto","11","Leve"
"1994",0.34,"SPI JFM","SPI 3","Chibuto","11","Leve"
"1995",0.14,"SPI JFM","SPI 3","Chibuto","11","Leve"
"1996",0.24,"SPI JFM","SPI 3","Chibuto","11","Leve"
"1997",0.3,"SPI JFM","SPI 3","Chibuto","11","Leve"
"1998",0.08,"SPI JFM","SPI 3","Chibuto","11","Leve"
"1999",0.21,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2000",0.26,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2001",0.2,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2002",0.41,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2003",0.18,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2004",0.2,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2005",0.08,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2006",0.34,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2007",0.17,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2008",0.29,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2009",0.43,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2010",0.1,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2011",0.34,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2012",0.16,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2013",0.27,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2014",0.3,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2015",0.28,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2016",0.22,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2017",0.3,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2018",0.44,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2019",0.52,"SPI JFM","SPI 3","Chibuto","11","Leve"
"2020",0.23,"SPI JFM","SPI 3","Chibuto","11","Leve"
"1993",0.18,"SPI JFM","SPI 3","Guija","11","Leve"
"1994",0.39,"SPI JFM","SPI 3","Guija","11","Leve"
"1995",0.19,"SPI JFM","SPI 3","Guija","11","Leve"
"1996",0.25,"SPI JFM","SPI 3","Guija","11","Leve"
"1997",0.32,"SPI JFM","SPI 3","Guija","11","Leve"
"1998",0.07,"SPI JFM","SPI 3","Guija","11","Leve"
"1999",0.14,"SPI JFM","SPI 3","Guija","11","Leve"
"2000",0.28,"SPI JFM","SPI 3","Guija","11","Leve"
"2001",0.31,"SPI JFM","SPI 3","Guija","11","Leve"
"2002",0.45,"SPI JFM","SPI 3","Guija","11","Leve"
"2003",0.22,"SPI JFM","SPI 3","Guija","11","Leve"
"2004",0.2,"SPI JFM","SPI 3","Guija","11","Leve"
"2005",0.08,"SPI JFM","SPI 3","Guija","11","Leve"
"2006",0.34,"SPI JFM","SPI 3","Guija","11","Leve"
"2007",0.17,"SPI JFM","SPI 3","Guija","11","Leve"
"2008",0.3,"SPI JFM","SPI 3","Guija","11","Leve"
"2009",0.37,"SPI JFM","SPI 3","Guija","11","Leve"
"2010",0.11,"SPI JFM","SPI 3","Guija","11","Leve"
"2011",0.34,"SPI JFM","SPI 3","Guija","11","Leve"
"2012",0.21,"SPI JFM","SPI 3","Guija","11","Leve"
"2013",0.22,"SPI JFM","SPI 3","Guija","11","Leve"
"2014",0.35,"SPI JFM","SPI 3","Guija","11","Leve"
"2015",0.2,"SPI JFM","SPI 3","Guija","11","Leve"
"2016",0.18,"SPI JFM","SPI 3","Guija","11","Leve"
"2017",0.29,"SPI JFM","SPI 3","Guija","11","Leve"
"2018",0.45,"SPI JFM","SPI 3","Guija","11","Leve"
"2019",0.51,"SPI JFM","SPI 3","Guija","11","Leve"
"2020",0.22,"SPI JFM","SPI 3","Guija","11","Leve"
"1993",0.18,"SPI JFM","SPI 3","Changara","11","Leve"
"1994",0.38,"SPI JFM","SPI 3","Changara","11","Leve"
"1995",0.12,"SPI JFM","SPI 3","Changara","11","Leve"
"1996",0.1,"SPI JFM","SPI 3","Changara","11","Leve"
"1997",0.2,"SPI JFM","SPI 3","Changara","11","Leve"
"1998",0.03,"SPI JFM","SPI 3","Changara","11","Leve"
"1999",0.09,"SPI JFM","SPI 3","Changara","11","Leve"
"2000",0.24,"SPI JFM","SPI 3","Changara","11","Leve"
"2001",0.21,"SPI JFM","SPI 3","Changara","11","Leve"
"2002",0.28,"SPI JFM","SPI 3","Changara","11","Leve"
"2003",0.14,"SPI JFM","SPI 3","Changara","11","Leve"
"2004",0.07,"SPI JFM","SPI 3","Changara","11","Leve"
"2005",0,"SPI JFM","SPI 3","Changara","11","Leve"
"2006",0.39,"SPI JFM","SPI 3","Changara","11","Leve"
"2007",0.13,"SPI JFM","SPI 3","Changara","11","Leve"
"2008",0.28,"SPI JFM","SPI 3","Changara","11","Leve"
"2009",0.31,"SPI JFM","SPI 3","Changara","11","Leve"
"2010",0.14,"SPI JFM","SPI 3","Changara","11","Leve"
"2011",0.24,"SPI JFM","SPI 3","Changara","11","Leve"
"2012",0.21,"SPI JFM","SPI 3","Changara","11","Leve"
"2013",0.13,"SPI JFM","SPI 3","Changara","11","Leve"
"2014",0.46,"SPI JFM","SPI 3","Changara","11","Leve"
"2015",0.44,"SPI JFM","SPI 3","Changara","11","Leve"
"2016",0.2,"SPI JFM","SPI 3","Changara","11","Leve"
"2017",0.35,"SPI JFM","SPI 3","Changara","11","Leve"
"2018",0.48,"SPI JFM","SPI 3","Changara","11","Leve"
"2019",0.44,"SPI JFM","SPI 3","Changara","11","Leve"
"2020",0.24,"SPI JFM","SPI 3","Changara","11","Leve"
"1993",0.13,"SPI JFM","SPI 3","Marara","11","Leve"
"1994",0.36,"SPI JFM","SPI 3","Marara","11","Leve"
"1995",0.16,"SPI JFM","SPI 3","Marara","11","Leve"
"1996",0.12,"SPI JFM","SPI 3","Marara","11","Leve"
"1997",0.21,"SPI JFM","SPI 3","Marara","11","Leve"
"1998",0.04,"SPI JFM","SPI 3","Marara","11","Leve"
"1999",0.15,"SPI JFM","SPI 3","Marara","11","Leve"
"2000",0.24,"SPI JFM","SPI 3","Marara","11","Leve"
"2001",0.2,"SPI JFM","SPI 3","Marara","11","Leve"
"2002",0.32,"SPI JFM","SPI 3","Marara","11","Leve"
"2003",0.12,"SPI JFM","SPI 3","Marara","11","Leve"
"2004",0.04,"SPI JFM","SPI 3","Marara","11","Leve"
"2005",0,"SPI JFM","SPI 3","Marara","11","Leve"
"2006",0.39,"SPI JFM","SPI 3","Marara","11","Leve"
"2007",0.12,"SPI JFM","SPI 3","Marara","11","Leve"
"2008",0.27,"SPI JFM","SPI 3","Marara","11","Leve"
"2009",0.37,"SPI JFM","SPI 3","Marara","11","Leve"
"2010",0.09,"SPI JFM","SPI 3","Marara","11","Leve"
"2011",0.21,"SPI JFM","SPI 3","Marara","11","Leve"
"2012",0.16,"SPI JFM","SPI 3","Marara","11","Leve"
"2013",0.16,"SPI JFM","SPI 3","Marara","11","Leve"
"2014",0.48,"SPI JFM","SPI 3","Marara","11","Leve"
"2015",0.41,"SPI JFM","SPI 3","Marara","11","Leve"
"2016",0.21,"SPI JFM","SPI 3","Marara","11","Leve"
"2017",0.33,"SPI JFM","SPI 3","Marara","11","Leve"
"2018",0.52,"SPI JFM","SPI 3","Marara","11","Leve"
"2019",0.47,"SPI JFM","SPI 3","Marara","11","Leve"
"2020",0.24,"SPI JFM","SPI 3","Marara","11","Leve"
"1993",0.22,"SPI ND","SPI 2","Chibuto","11","Leve"
"1994",0.66,"SPI ND","SPI 2","Chibuto","11","Leve"
"1995",0.16,"SPI ND","SPI 2","Chibuto","11","Leve"
"1996",0.22,"SPI ND","SPI 2","Chibuto","11","Leve"
"1997",0.48,"SPI ND","SPI 2","Chibuto","11","Leve"
"1998",0.08,"SPI ND","SPI 2","Chibuto","11","Leve"
"1999",0.26,"SPI ND","SPI 2","Chibuto","11","Leve"
"2000",0.28,"SPI ND","SPI 2","Chibuto","11","Leve"
"2001",0.29,"SPI ND","SPI 2","Chibuto","11","Leve"
"2002",0.52,"SPI ND","SPI 2","Chibuto","11","Leve"
"2003",0.22,"SPI ND","SPI 2","Chibuto","11","Leve"
"2004",0.33,"SPI ND","SPI 2","Chibuto","11","Leve"
"2005",0.08,"SPI ND","SPI 2","Chibuto","11","Leve"
"2006",0.23,"SPI ND","SPI 2","Chibuto","11","Leve"
"2007",0.03,"SPI ND","SPI 2","Chibuto","11","Leve"
"2008",0.18,"SPI ND","SPI 2","Chibuto","11","Leve"
"2009",0.41,"SPI ND","SPI 2","Chibuto","11","Leve"
"2010",0.04,"SPI ND","SPI 2","Chibuto","11","Leve"
"2011",0.23,"SPI ND","SPI 2","Chibuto","11","Leve"
"2012",0.36,"SPI ND","SPI 2","Chibuto","11","Leve"
"2013",0.31,"SPI ND","SPI 2","Chibuto","11","Leve"
"2014",0.36,"SPI ND","SPI 2","Chibuto","11","Leve"
"2015",0.58,"SPI ND","SPI 2","Chibuto","11","Leve"
"2016",0,"SPI ND","SPI 2","Chibuto","11","Leve"
"2017",0.18,"SPI ND","SPI 2","Chibuto","11","Leve"
"2018",0.24,"SPI ND","SPI 2","Chibuto","11","Leve"
"2019",0.33,"SPI ND","SPI 2","Chibuto","11","Leve"
"2020",0.18,"SPI ND","SPI 2","Chibuto","11","Leve"
"1993",0.24,"SPI ND","SPI 2","Guija","11","Leve"
"1994",0.66,"SPI ND","SPI 2","Guija","11","Leve"
"1995",0.14,"SPI ND","SPI 2","Guija","11","Leve"
"1996",0.26,"SPI ND","SPI 2","Guija","11","Leve"
"1997",0.49,"SPI ND","SPI 2","Guija","11","Leve"
"1998",0.08,"SPI ND","SPI 2","Guija","11","Leve"
"1999",0.26,"SPI ND","SPI 2","Guija","11","Leve"
"2000",0.28,"SPI ND","SPI 2","Guija","11","Leve"
"2001",0.26,"SPI ND","SPI 2","Guija","11","Leve"
"2002",0.56,"SPI ND","SPI 2","Guija","11","Leve"
"2003",0.2,"SPI ND","SPI 2","Guija","11","Leve"
"2004",0.34,"SPI ND","SPI 2","Guija","11","Leve"
"2005",0.09,"SPI ND","SPI 2","Guija","11","Leve"
"2006",0.2,"SPI ND","SPI 2","Guija","11","Leve"
"2007",0.04,"SPI ND","SPI 2","Guija","11","Leve"
"2008",0.16,"SPI ND","SPI 2","Guija","11","Leve"
"2009",0.37,"SPI ND","SPI 2","Guija","11","Leve"
"2010",0,"SPI ND","SPI 2","Guija","11","Leve"
"2011",0.23,"SPI ND","SPI 2","Guija","11","Leve"
"2012",0.34,"SPI ND","SPI 2","Guija","11","Leve"
"2013",0.29,"SPI ND","SPI 2","Guija","11","Leve"
"2014",0.38,"SPI ND","SPI 2","Guija","11","Leve"
"2015",0.62,"SPI ND","SPI 2","Guija","11","Leve"
"2016",0,"SPI ND","SPI 2","Guija","11","Leve"
"2017",0.18,"SPI ND","SPI 2","Guija","11","Leve"
"2018",0.24,"SPI ND","SPI 2","Guija","11","Leve"
"2019",0.31,"SPI ND","SPI 2","Guija","11","Leve"
"2020",0.14,"SPI ND","SPI 2","Guija","11","Leve"
"1993",0.26,"SPI ND","SPI 2","Changara","11","Leve"
"1994",0.32,"SPI ND","SPI 2","Changara","11","Leve"
"1995",0.14,"SPI ND","SPI 2","Changara","11","Leve"
"1996",0.37,"SPI ND","SPI 2","Changara","11","Leve"
"1997",0.42,"SPI ND","SPI 2","Changara","11","Leve"
"1998",0.32,"SPI ND","SPI 2","Changara","11","Leve"
"1999",0.16,"SPI ND","SPI 2","Changara","11","Leve"
"2000",0.2,"SPI ND","SPI 2","Changara","11","Leve"
"2001",0.28,"SPI ND","SPI 2","Changara","11","Leve"
"2002",0.22,"SPI ND","SPI 2","Changara","11","Leve"
"2003",0.13,"SPI ND","SPI 2","Changara","11","Leve"
"2004",0.25,"SPI ND","SPI 2","Changara","11","Leve"
"2005",0.13,"SPI ND","SPI 2","Changara","11","Leve"
"2006",0.32,"SPI ND","SPI 2","Changara","11","Leve"
"2007",0.11,"SPI ND","SPI 2","Changara","11","Leve"
"2008",0.09,"SPI ND","SPI 2","Changara","11","Leve"
"2009",0.16,"SPI ND","SPI 2","Changara","11","Leve"
"2010",0.25,"SPI ND","SPI 2","Changara","11","Leve"
"2011",0.5,"SPI ND","SPI 2","Changara","11","Leve"
"2012",0.27,"SPI ND","SPI 2","Changara","11","Leve"
"2013",0.17,"SPI ND","SPI 2","Changara","11","Leve"
"2014",0.34,"SPI ND","SPI 2","Changara","11","Leve"
"2015",0.51,"SPI ND","SPI 2","Changara","11","Leve"
"2016",0.21,"SPI ND","SPI 2","Changara","11","Leve"
"2017",0.21,"SPI ND","SPI 2","Changara","11","Leve"
"2018",0.18,"SPI ND","SPI 2","Changara","11","Leve"
"2019",0.1,"SPI ND","SPI 2","Changara","11","Leve"
"2020",0.49,"SPI ND","SPI 2","Changara","11","Leve"
"1993",0.24,"SPI ND","SPI 2","Marara","11","Leve"
"1994",0.21,"SPI ND","SPI 2","Marara","11","Leve"
"1995",0.2,"SPI ND","SPI 2","Marara","11","Leve"
"1996",0.4,"SPI ND","SPI 2","Marara","11","Leve"
"1997",0.39,"SPI ND","SPI 2","Marara","11","Leve"
"1998",0.36,"SPI ND","SPI 2","Marara","11","Leve"
"1999",0.15,"SPI ND","SPI 2","Marara","11","Leve"
"2000",0.19,"SPI ND","SPI 2","Marara","11","Leve"
"2001",0.27,"SPI ND","SPI 2","Marara","11","Leve"
"2002",0.28,"SPI ND","SPI 2","Marara","11","Leve"
"2003",0.12,"SPI ND","SPI 2","Marara","11","Leve"
"2004",0.31,"SPI ND","SPI 2","Marara","11","Leve"
"2005",0.08,"SPI ND","SPI 2","Marara","11","Leve"
"2006",0.33,"SPI ND","SPI 2","Marara","11","Leve"
"2007",0.15,"SPI ND","SPI 2","Marara","11","Leve"
"2008",0.15,"SPI ND","SPI 2","Marara","11","Leve"
"2009",0.11,"SPI ND","SPI 2","Marara","11","Leve"
"2010",0.25,"SPI ND","SPI 2","Marara","11","Leve"
"2011",0.41,"SPI ND","SPI 2","Marara","11","Leve"
"2012",0.31,"SPI ND","SPI 2","Marara","11","Leve"
"2013",0.15,"SPI ND","SPI 2","Marara","11","Leve"
"2014",0.35,"SPI ND","SPI 2","Marara","11","Leve"
"2015",0.47,"SPI ND","SPI 2","Marara","11","Leve"
"2016",0.24,"SPI ND","SPI 2","Marara","11","Leve"
"2017",0.24,"SPI ND","SPI 2","Marara","11","Leve"
"2018",0.19,"SPI ND","SPI 2","Marara","11","Leve"
"2019",0.08,"SPI ND","SPI 2","Marara","11","Leve"
"2020",0.44,"SPI ND","SPI 2","Marara","11","Leve"
"1993",0.23,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"1994",0.48,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"1995",0.12,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"1996",0.23,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"1997",0.37,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"1998",0.04,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"1999",0.18,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2000",0.24,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2001",0.23,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2002",0.48,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2003",0.14,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2004",0.25,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2005",0.05,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2006",0.33,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2007",0.05,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2008",0.17,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2009",0.38,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2010",0,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2011",0.35,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2012",0.31,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2013",0.28,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2014",0.51,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2015",0.41,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2016",0.04,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2017",0.28,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2018",0.19,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2019",0.34,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"2020",0.25,"SPI NDJ","SPI 3","Chibuto","11","Leve"
"1993",0.19,"SPI NDJ","SPI 3","Guija","11","Leve"
"1994",0.55,"SPI NDJ","SPI 3","Guija","11","Leve"
"1995",0.11,"SPI NDJ","SPI 3","Guija","11","Leve"
"1996",0.22,"SPI NDJ","SPI 3","Guija","11","Leve"
"1997",0.36,"SPI NDJ","SPI 3","Guija","11","Leve"
"1998",0.05,"SPI NDJ","SPI 3","Guija","11","Leve"
"1999",0.17,"SPI NDJ","SPI 3","Guija","11","Leve"
"2000",0.22,"SPI NDJ","SPI 3","Guija","11","Leve"
"2001",0.3,"SPI NDJ","SPI 3","Guija","11","Leve"
"2002",0.5,"SPI NDJ","SPI 3","Guija","11","Leve"
"2003",0.15,"SPI NDJ","SPI 3","Guija","11","Leve"
"2004",0.18,"SPI NDJ","SPI 3","Guija","11","Leve"
"2005",0.09,"SPI NDJ","SPI 3","Guija","11","Leve"
"2006",0.35,"SPI NDJ","SPI 3","Guija","11","Leve"
"2007",0.04,"SPI NDJ","SPI 3","Guija","11","Leve"
"2008",0.18,"SPI NDJ","SPI 3","Guija","11","Leve"
"2009",0.36,"SPI NDJ","SPI 3","Guija","11","Leve"
"2010",0,"SPI NDJ","SPI 3","Guija","11","Leve"
"2011",0.39,"SPI NDJ","SPI 3","Guija","11","Leve"
"2012",0.25,"SPI NDJ","SPI 3","Guija","11","Leve"
"2013",0.26,"SPI NDJ","SPI 3","Guija","11","Leve"
"2014",0.47,"SPI NDJ","SPI 3","Guija","11","Leve"
"2015",0.42,"SPI NDJ","SPI 3","Guija","11","Leve"
"2016",0.06,"SPI NDJ","SPI 3","Guija","11","Leve"
"2017",0.32,"SPI NDJ","SPI 3","Guija","11","Leve"
"2018",0.2,"SPI NDJ","SPI 3","Guija","11","Leve"
"2019",0.34,"SPI NDJ","SPI 3","Guija","11","Leve"
"2020",0.2,"SPI NDJ","SPI 3","Guija","11","Leve"
"1993",0.26,"SPI NDJ","SPI 3","Changara","11","Leve"
"1994",0.37,"SPI NDJ","SPI 3","Changara","11","Leve"
"1995",0.18,"SPI NDJ","SPI 3","Changara","11","Leve"
"1996",0.18,"SPI NDJ","SPI 3","Changara","11","Leve"
